Date,BRG1665,BRG1666,BRG1667,BRG1668,BRG1669,BRG1670,BRG1671,BRG1672,BRG1673,BRG1674,BRG1675,BRG1676,BRG1677,BRG1678,BRG1679,BRG1680,BRG1681,BRG1682,BRG1683,BRG1684,BRG1685,BRG1686,BRG1687,BRG1688,BRG1689,BRG1690,BRG1691, Total
2017/Feb,1137,5676,9025,1197,19852,15549,6005,3395,10667,10826,35844,6640,6190,11137,7025,21420,3996,18705,24319,3822,4185,3042,12264,12532,3152,90540,3313,351455
2017/Mar,1410,7557,13517,1599,26699,19198,8233,5698,14235,17406,52820,7723,8396,15859,8415,21837,5020,25589,28088,4590,5186,3205,18067,16463,4426,120790,3465,465491
2017/Apr,1121,5317,9033,1369,24661,16081,5621,6679,9946,12124,36352,5756,6529,11261,6677,16605,3068,18123,20214,3183,5084,1549,12246,11888,3357,86183,2866,342893
2017/May,1379,5576,10398,1274,25713,18572,6248,11551,12265,14429,41729,6500,7479,12483,6635,20756,3628,21479,26888,3438,5271,2488,16348,15942,4077,111672,3971,418189
2017/Jun,1298,5343,9569,1244,21594,16819,5220,7135,11845,10683,32360,4836,6289,11756,6000,14839,3538,17276,24627,3162,4017,1916,15550,12480,3584,89006,3223,345209
2017/Jul,1130,6451,9533,1339,22568,16567,4067,7696,9735,10809,30258,5483,5886,10394,6146,18044,3255,16471,24940,4329,3320,1984,14241,12474,3594,88401,2955,342070
2017/Aug,1488,6160,9719,1805,23550,18835,1791,7143,10949,11373,32926,5391,8320,12061,6211,15843,3391,20308,23971,4392,3910,1571,17829,13181,3693,87502,3356,356669
2017/Sep,3086,10117,15788,4036,39223,27398,8298,10072,20592,24195,55353,8766,9686,20217,10467,26625,8885,28721,34252,8625,5263,2134,24110,20072,8062,124132,5584,563759
2017/Oct,1457,5802,8586,1585,21244,16949,5782,6921,9844,11393,31717,4752,6286,12213,5590,15280,4849,17294,20891,3640,4915,2167,14338,12345,3974,75850,3930,329594
2017/Nov,1503,5090,9186,1601,19350,16359,4498,6832,9508,9915,26840,4960,6059,9889,5063,13979,4580,17215,17692,3436,3346,2037,13569,12033,4186,68687,3196,300609
2017/Dec,1136,3508,5766,1121,13575,12361,3458,5327,7061,4816,21904,3942,4654,7704,3281,12257,2229,12380,18270,2742,2296,1988,10980,8194,2947,61600,2301,237798
2018/Jan,1469,5657,10334,1580,23302,19065,6997,6570,14354,10237,48375,7218,7226,11764,5577,16287,5432,21397,24000,3623,4354,3218,15203,14794,3757,91951,4374,388115
2018/Feb,1287,4863,8546,1403,18791,14280,3321,5816,10121,9028,40216,5927,5548,9767,5144,13158,3972,17592,16745,3140,3938,5528,13147,14458,3130,71942,3192,314000
2018/Mar,1511,5931,36561,1411,21241,17449,5369,7378,12392,10871,47578,6142,7374,11354,6368,14837,4370,19553,23441,3640,5301,36189,14963,15348,3567,93357,3867,437363
2018/Apr,1639,5764,57577,1507,23474,19352,6408,8094,12267,12988,52583,6051,6980,12838,6638,19917,4836,20576,26314,4026,4797,23923,17039,16095,4124,94983,3933,474723
2018/May,1380,5839,24036,1383,21714,18371,5464,8088,10468,11580,49186,5328,6407,11471,6735,16489,4289,19709,27339,4106,5440,10784,14562,17031,3668,104480,3942,419289
2018/Jun,1303,4917,34274,1244,17850,18682,5666,7527,9839,9844,40610,5463,5999,11269,6171,17190,4290,18727,46355,3681,4934,7585,16009,13787,4148,92558,3086,413008
2018/Jul,2296,15925,206872,2305,37986,30268,8780,15205,16336,18107,98271,7828,10089,24129,10571,32386,5856,38266,43233,6578,27208,9798,40837,23590,6763,187213,3795,930491
2018/Aug,4447,18742,146742,3988,59156,55107,14104,23064,33034,41873,144834,14187,18543,43096,19672,76561,8659,73681,64929,8972,21053,5275,73406,42887,14126,272030,7525,1309693
2018/Sep,1314,7753,42741,1883,28639,19612,6638,13161,12573,14172,67575,8154,6665,13691,11367,33708,4676,22074,26586,4012,7190,3193,21255,14967,5904,108952,3145,511600
2018/Oct,1244,6391,24734,1642,26559,17180,5970,11013,11948,13442,54028,6272,7087,12277,8350,23954,5069,23566,18968,4816,5440,9540,19346,16012,8963,96373,3392,443576
2018/Nov,1033,5530,14597,1422,21699,16751,5252,10764,10070,11136,37322,5774,6183,12085,6292,17127,4598,29436,15181,4124,4142,9452,19896,15184,8641,79952,2924,376567
2018/Dec,784,12016,10592,933,15105,13271,4332,9532,7689,7371,28200,4080,5157,8037,4767,12296,3183,18547,12724,3242,3455,6899,12002,10594,3170,65178,2052,285208
2019/Jan,1554,5949,13884,1680,24249,16960,6221,11907,12881,13324,43003,7211,7558,14615,7674,18756,5245,28139,21656,4740,7345,8326,17364,15266,5179,101310,3302,425298
2019/Feb,1679,6532,13569,1616,22019,15173,5833,12174,11379,11778,41357,6160,6434,20125,7914,17133,4544,31202,19866,4298,4126,5832,15954,26200,3950,111172,2820,430839
2019/Mar,1701,6095,15820,1636,22891,15065,5783,12508,12451,12383,41781,6287,7254,17096,7109,18519,4520,33417,21285,4250,4160,5010,17059,32408,4048,164014,2891,497441
2019/Apr,1814,6629,14003,1526,25898,15423,6490,11539,13213,16284,48156,7298,8136,15337,8171,17976,4580,33431,19665,4913,4987,5496,19467,40545,4215,119891,4086,479169
2019/May,1648,7680,12305,1473,25896,15539,7861,12350,13086,15274,54725,7074,8277,14496,7983,17877,5079,33341,23331,4532,5427,5768,18449,26269,4980,140058,4127,494905
2019/Jun,1414,5274,10819,1352,18231,13535,5778,8570,9642,12134,46151,5505,6187,16761,5921,13321,4615,25668,19392,3671,4459,2260,15791,18568,2930,164437,3235,445621
2019/Jul,2078,7544,12421,1514,31949,18625,6910,21327,13333,15161,54300,8152,8527,18280,8286,20001,5975,32845,26440,6059,4838,2933,19986,24120,4886,800418,3412,1180320
2019/Aug,1962,21508,13832,2804,132663,29127,32466,67508,34254,28060,153211,12592,14051,26809,17270,116042,13329,111418,55947,18081,6943,4871,28249,52349,12783,955448,6041,1969618
2019/Sep,2119,23067,14082,2765,98001,32529,18319,30066,36515,37645,212705,17554,16923,42469,26664,128494,21465,100108,65945,17046,8737,5327,31792,48419,12146,410663,6357,1467922
2019/Oct,3296,19919,16295,3657,109043,24592,12626,13676,27681,29374,111914,13737,18547,94838,18636,52179,15406,78816,52882,12589,11150,10463,44505,51641,10159,253108,6157,1116886
2019/Nov,4169,34273,16335,4055,75878,71417,10505,13794,28425,44428,92391,12943,20156,49776,31930,52833,37786,60897,72253,24506,8340,6234,49662,78680,22745,154916,6360,1085687
2019/Dec,2408,13804,9620,2136,32107,31240,7476,9531,11506,19806,47712,7720,9834,32793,11390,27313,12065,32447,27895,8811,4673,5999,27396,25444,8022,87891,3337,520376
Total,141203,663662,1503273,151095,2553567,2153618,614481,832776,1122311,1221931,3589613,563614,630436,1373544,722471,2087470,490514,2066656,2548100,465219,394392,346075,1542250,1470789,433596,10947112,299311,40929079
